1624507883,JOHN DOE,DEBIT,250000,SUCCESS,restaurant
1624608050,E-COMMERCE A,DEBIT,150000,FAILED,clothes
1624608150,E-COMMERCE A,Credit,150000,SUCCESS,return money
1624512883,COMPANY A,CREDIT,12000000,SUCCESS,salary
1624615065,E-COMMERCE B,DEBIT,150000,PENDING,clothes
1624700000,COFFEE SHOP,DEBIT,50000,SUCCESS,coffee
1624800000,Gopay,DEBIT,50000,SUCCESS,go-ride
1624900000,Shopeepay,DEBIT,150000,SUCCESS,isi ulang Shopeepay
1625000000,OVO,DEBIT,150000,PENDING,isi ovo
1625100000,Joko Ngorek,CREDIT,100000,SUCCESS,balikin uang
1625200000,E-commerce C,CREDIT,180000,SUCCESS,beli claude buat 2 bulan
1625300000,paypal,DEBIT,150000,FAILED,onlyfans SUBSCRIPTION
1625400000,Gopay,DEBIT,100000,SUCCESS,isi ulang gopay
1625500000,Diki Shopihuddin,DEBIT,100000,SUCCESS,taruhan bola
